#    L    TT             EE             TE             PP             TP          
   166    0.48229E+04    0.95206E+00   -0.43000E+02    0.32641E+07    0.31859E+04
   167    0.48507E+04    0.94117E+00   -0.42593E+02    0.32462E+07    0.31581E+04
   168    0.48781E+04    0.93029E+00   -0.42157E+02    0.32285E+07    0.31307E+04
   169    0.49051E+04    0.91913E+00   -0.41693E+02    0.32108E+07    0.31036E+04
   170    0.49318E+04    0.90790E+00   -0.41203E+02    0.31933E+07    0.30769E+04
   171    0.49581E+04    0.89662E+00   -0.40683E+02    0.31760E+07    0.30504E+04
   172    0.49839E+04    0.88520E+00   -0.40136E+02    0.31588E+07    0.30243E+04
   173    0.50093E+04    0.87364E+00   -0.39562E+02    0.31417E+07    0.29986E+04
   174    0.50343E+04    0.86225E+00   -0.38960E+02    0.31248E+07    0.29732E+04
   175    0.50590E+04    0.85073E+00   -0.38330E+02    0.31080E+07    0.29480E+04
   176    0.50831E+04    0.83931E+00   -0.37672E+02    0.30913E+07    0.29232E+04
   177    0.51067E+04    0.82790E+00   -0.36988E+02    0.30748E+07    0.28988E+04
   178    0.51300E+04    0.81674E+00   -0.36275E+02    0.30584E+07    0.28746E+04
   179    0.51527E+04    0.80552E+00   -0.35534E+02    0.30422E+07    0.28507E+04
   180    0.51751E+04    0.79448E+00   -0.34766E+02    0.30260E+07    0.28271E+04
   181    0.51970E+04    0.78362E+00   -0.33972E+02    0.30100E+07    0.28038E+04
   182    0.52183E+04    0.77300E+00   -0.33150E+02    0.29942E+07    0.27807E+04
   183    0.52392E+04    0.76257E+00   -0.32302E+02    0.29784E+07    0.27580E+04
   184    0.52596E+04    0.75239E+00   -0.31426E+02    0.29628E+07    0.27354E+04
   185    0.52796E+04    0.74261E+00   -0.30526E+02    0.29473E+07    0.27132E+04
   186    0.52987E+04    0.73310E+00   -0.29598E+02    0.29320E+07    0.26911E+04
   187    0.53176E+04    0.72399E+00   -0.28643E+02    0.29167E+07    0.26694E+04
   188    0.53360E+04    0.71528E+00   -0.27663E+02    0.29016E+07    0.26478E+04
   189    0.53538E+04    0.70700E+00   -0.26658E+02    0.28866E+07    0.26264E+04
   190    0.53714E+04    0.69921E+00   -0.25628E+02    0.28717E+07    0.26053E+04
   191    0.53881E+04    0.69193E+00   -0.24571E+02    0.28570E+07    0.25844E+04
   192    0.54044E+04    0.68518E+00   -0.23490E+02    0.28423E+07    0.25636E+04
   193    0.54201E+04    0.67901E+00   -0.22385E+02    0.28278E+07    0.25431E+04
   194    0.54354E+04    0.67346E+00   -0.21255E+02    0.28134E+07    0.25227E+04
   195    0.54500E+04    0.66855E+00   -0.20102E+02    0.27990E+07    0.25025E+04
   196    0.54641E+04    0.66434E+00   -0.18926E+02    0.27849E+07    0.24825E+04
   197    0.54776E+04    0.66086E+00   -0.17727E+02    0.27708E+07    0.24626E+04
   198    0.54907E+04    0.65814E+00   -0.16505E+02    0.27568E+07    0.24429E+04
   199    0.55032E+04    0.65621E+00   -0.15260E+02    0.27429E+07    0.24234E+04
   200    0.55151E+04    0.65512E+00   -0.13995E+02    0.27292E+07    0.24039E+04
   201    0.55265E+04    0.65491E+00   -0.12707E+02    0.27155E+07    0.23846E+04
   202    0.55373E+04    0.65560E+00   -0.11399E+02    0.27019E+07    0.23654E+04
