#    L    TT             EE             BB             TE          
   258    0.51430E+04    0.31999E+01    0.25734E-01    0.76846E+02
   259    0.51200E+04    0.33021E+01    0.25895E-01    0.78302E+02
   260    0.50967E+04    0.34065E+01    0.26055E-01    0.79749E+02
   261    0.50728E+04    0.35130E+01    0.26214E-01    0.81165E+02
   262    0.50485E+04    0.36218E+01    0.26371E-01    0.82571E+02
   263    0.50240E+04    0.37328E+01    0.26528E-01    0.83961E+02
   264    0.49989E+04    0.38460E+01    0.26684E-01    0.85328E+02
   265    0.49733E+04    0.39613E+01    0.26838E-01    0.86663E+02
   266    0.49474E+04    0.40789E+01    0.26992E-01    0.87989E+02
   267    0.49210E+04    0.41984E+01    0.27144E-01    0.89284E+02
   268    0.48942E+04    0.43203E+01    0.27295E-01    0.90563E+02
   269    0.48670E+04    0.44442E+01    0.27445E-01    0.91817E+02
   270    0.48395E+04    0.45702E+01    0.27595E-01    0.93048E+02
   271    0.48116E+04    0.46982E+01    0.27743E-01    0.94256E+02
   272    0.47835E+04    0.48286E+01    0.27890E-01    0.95432E+02
   273    0.47550E+04    0.49606E+01    0.28036E-01    0.96592E+02
   274    0.47262E+04    0.50949E+01    0.28181E-01    0.97713E+02
   275    0.46970E+04    0.52310E+01    0.28325E-01    0.98819E+02
   276    0.46676E+04    0.53691E+01    0.28468E-01    0.99885E+02
   277    0.46378E+04    0.55092E+01    0.28610E-01    0.10094E+03
   278    0.46078E+04    0.56512E+01    0.28751E-01    0.10195E+03
   279    0.45776E+04    0.57951E+01    0.28891E-01    0.10293E+03
   280    0.45470E+04    0.59407E+01    0.29031E-01    0.10389E+03
   281    0.45163E+04    0.60883E+01    0.29169E-01    0.10482E+03
   282    0.44852E+04    0.62375E+01    0.29306E-01    0.10572E+03
   283    0.44540E+04    0.63884E+01    0.29442E-01    0.10658E+03
   284    0.44226E+04    0.65412E+01    0.29578E-01    0.10741E+03
   285    0.43909E+04    0.66956E+01    0.29712E-01    0.10822E+03
   286    0.43590E+04    0.68517E+01    0.29846E-01    0.10898E+03
   287    0.43269E+04    0.70093E+01    0.29979E-01    0.10972E+03
   288    0.42947E+04    0.71685E+01    0.30111E-01    0.11043E+03
   289    0.42623E+04    0.73292E+01    0.30242E-01    0.11110E+03
   290    0.42297E+04    0.74913E+01    0.30372E-01    0.11174E+03
   291    0.41970E+04    0.76554E+01    0.30501E-01    0.11233E+03
   292    0.41640E+04    0.78205E+01    0.30630E-01    0.11291E+03
   293    0.41311E+04    0.79862E+01    0.30758E-01    0.11343E+03
   294    0.40979E+04    0.81540E+01    0.30885E-01    0.11394E+03
   295    0.40648E+04    0.83223E+01    0.31011E-01    0.11439E+03
   296    0.40315E+04    0.84927E+01    0.31137E-01    0.11482E+03
   297    0.39981E+04    0.86630E+01    0.31262E-01    0.11522E+03
   298    0.39645E+04    0.88353E+01    0.31386E-01    0.11557E+03
   299    0.39310E+04    0.90090E+01    0.31510E-01    0.11588E+03
   300    0.38973E+04    0.91824E+01    0.31633E-01    0.11615E+03
   301    0.38636E+04    0.93572E+01    0.31755E-01    0.11640E+03
   302    0.38299E+04    0.95325E+01    0.31877E-01    0.11661E+03
   303    0.37962E+04    0.97091E+01    0.31998E-01    0.11678E+03
   304    0.37625E+04    0.98871E+01    0.32118E-01    0.11690E+03
   305    0.37287E+04    0.10065E+02    0.32238E-01    0.11700E+03
   306    0.36950E+04    0.10243E+02    0.32357E-01    0.11705E+03
   307    0.36612E+04    0.10422E+02    0.32475E-01    0.11706E+03
   308    0.36275E+04    0.10603E+02    0.32593E-01    0.11705E+03
   309    0.35939E+04    0.10783E+02    0.32711E-01    0.11698E+03
   310    0.35603E+04    0.10963E+02    0.32828E-01    0.11689E+03
   311    0.35268E+04    0.11144E+02    0.32944E-01    0.11675E+03
   312    0.34934E+04    0.11325E+02    0.33060E-01    0.11658E+03
   313    0.34600E+04    0.11507E+02    0.33175E-01    0.11636E+03
   314    0.34267E+04    0.11689E+02    0.33290E-01    0.11612E+03
   315    0.33935E+04    0.11870E+02    0.33404E-01    0.11583E+03
   316    0.33604E+04    0.12051E+02    0.33517E-01    0.11550E+03
   317    0.33274E+04    0.12232E+02    0.33631E-01    0.11514E+03
   318    0.32946E+04    0.12414E+02    0.33744E-01    0.11474E+03
   319    0.32619E+04    0.12595E+02    0.33856E-01    0.11430E+03
   320    0.32294E+04    0.12776E+02    0.33968E-01    0.11383E+03
   321    0.31969E+04    0.12957E+02    0.34079E-01    0.11332E+03
   322    0.31647E+04    0.13136E+02    0.34190E-01    0.11277E+03
   323    0.31327E+04    0.13316E+02    0.34301E-01    0.11219E+03
   324    0.31008E+04    0.13496E+02    0.34411E-01    0.11156E+03
   325    0.30692E+04    0.13673E+02    0.34521E-01    0.11091E+03
   326    0.30376E+04    0.13851E+02    0.34631E-01    0.11020E+03
   327    0.30064E+04    0.14028E+02    0.34740E-01    0.10947E+03
   328    0.29754E+04    0.14203E+02    0.34849E-01    0.10871E+03
   329    0.29445E+04    0.14378E+02    0.34958E-01    0.10791E+03
   330    0.29139E+04    0.14552E+02    0.35067E-01    0.10707E+03
   331    0.28837E+04    0.14724E+02    0.35175E-01    0.10620E+03
   332    0.28536E+04    0.14896E+02    0.35283E-01    0.10530E+03
   333    0.28237E+04    0.15067E+02    0.35391E-01    0.10437E+03
   334    0.27942E+04    0.15237E+02    0.35499E-01    0.10340E+03
   335    0.27649E+04    0.15404E+02    0.35607E-01    0.10239E+03
   336    0.27359E+04    0.15570E+02    0.35715E-01    0.10135E+03
   337    0.27072E+04    0.15735E+02    0.35822E-01    0.10028E+03
   338    0.26788E+04    0.15898E+02    0.35930E-01    0.99176E+02
   339    0.26507E+04    0.16060E+02    0.36037E-01    0.98041E+02
   340    0.26229E+04    0.16221E+02    0.36145E-01    0.96885E+02
   341    0.25954E+04    0.16378E+02    0.36252E-01    0.95685E+02
   342    0.25682E+04    0.16536E+02    0.36360E-01    0.94458E+02
   343    0.25414E+04    0.16690E+02    0.36467E-01    0.93202E+02
   344    0.25150E+04    0.16842E+02    0.36575E-01    0.91918E+02
   345    0.24888E+04    0.16993E+02    0.36683E-01    0.90606E+02
   346    0.24630E+04    0.17142E+02    0.36791E-01    0.89273E+02
   347    0.24375E+04    0.17288E+02    0.36900E-01    0.87905E+02
   348    0.24125E+04    0.17431E+02    0.37008E-01    0.86509E+02
   349    0.23877E+04    0.17573E+02    0.37117E-01    0.85085E+02
   350    0.23634E+04    0.17711E+02    0.37226E-01    0.83640E+02
   351    0.23396E+04    0.17848E+02    0.37336E-01    0.82168E+02
   352    0.23159E+04    0.17983E+02    0.37446E-01    0.80668E+02
   353    0.22928E+04    0.18114E+02    0.37556E-01    0.79155E+02
   354    0.22699E+04    0.18243E+02    0.37667E-01    0.77607E+02
   355    0.22475E+04    0.18369E+02    0.37778E-01    0.76039E+02
   356    0.22255E+04    0.18493E+02    0.37889E-01    0.74458E+02
   357    0.22039E+04    0.18614E+02    0.38001E-01    0.72849E+02
   358    0.21828E+04    0.18730E+02    0.38113E-01    0.71228E+02
   359    0.21620E+04    0.18845E+02    0.38225E-01    0.69579E+02
   360    0.21416E+04    0.18957E+02    0.38338E-01    0.67914E+02
   361    0.21216E+04    0.19066E+02    0.38452E-01    0.66228E+02
   362    0.21021E+04    0.19172E+02    0.38565E-01    0.64524E+02
   363    0.20830E+04    0.19275E+02    0.38680E-01    0.62804E+02
   364    0.20643E+04    0.19374E+02    0.38794E-01    0.61066E+02
   365    0.20461E+04    0.19471E+02    0.38910E-01    0.59313E+02
   366    0.20282E+04    0.19564E+02    0.39025E-01    0.57545E+02
   367    0.20109E+04    0.19653E+02    0.39141E-01    0.55763E+02
   368    0.19938E+04    0.19740E+02    0.39258E-01    0.53968E+02
   369    0.19774E+04    0.19823E+02    0.39375E-01    0.52159E+02
   370    0.19613E+04    0.19903E+02    0.39492E-01    0.50340E+02
   371    0.19456E+04    0.19978E+02    0.39610E-01    0.48508E+02
   372    0.19304E+04    0.20051E+02    0.39728E-01    0.46668E+02
   373    0.19156E+04    0.20120E+02    0.39847E-01    0.44816E+02
   374    0.19013E+04    0.20186E+02    0.39967E-01    0.42956E+02
   375    0.18873E+04    0.20249E+02    0.40087E-01    0.41088E+02
   376    0.18739E+04    0.20308E+02    0.40207E-01    0.39212E+02
   377    0.18609E+04    0.20362E+02    0.40328E-01    0.37332E+02
   378    0.18483E+04    0.20413E+02    0.40450E-01    0.35444E+02
   379    0.18362E+04    0.20461E+02    0.40572E-01    0.33552E+02
   380    0.18246E+04    0.20506E+02    0.40694E-01    0.31655E+02
   381    0.18133E+04    0.20545E+02    0.40818E-01    0.29756E+02
   382    0.18025E+04    0.20581E+02    0.40941E-01    0.27854E+02
