#    L    TT             EE             BB             TE          
   219    0.74633E-02    0.15321E-04    0.11966E-04    0.21733E-04
   220    0.74465E-02    0.15268E-04    0.12006E-04    0.15681E-04
   221    0.74257E-02    0.15231E-04    0.12048E-04    0.96256E-05
   222    0.74010E-02    0.15207E-04    0.12093E-04    0.35767E-05
   223    0.73725E-02    0.15197E-04    0.12140E-04   -0.24563E-05
   224    0.73403E-02    0.15201E-04    0.12190E-04   -0.84634E-05
   225    0.73045E-02    0.15217E-04    0.12240E-04   -0.14435E-04
   226    0.72652E-02    0.15246E-04    0.12293E-04   -0.20361E-04
   227    0.72226E-02    0.15286E-04    0.12347E-04   -0.26232E-04
   228    0.71766E-02    0.15338E-04    0.12401E-04   -0.32039E-04
   229    0.71275E-02    0.15400E-04    0.12457E-04   -0.37770E-04
   230    0.70753E-02    0.15473E-04    0.12513E-04   -0.43418E-04
   231    0.70202E-02    0.15555E-04    0.12569E-04   -0.48971E-04
   232    0.69622E-02    0.15646E-04    0.12626E-04   -0.54420E-04
   233    0.69014E-02    0.15747E-04    0.12682E-04   -0.59755E-04
   234    0.68379E-02    0.15855E-04    0.12737E-04   -0.64967E-04
   235    0.67719E-02    0.15971E-04    0.12792E-04   -0.70046E-04
   236    0.67034E-02    0.16095E-04    0.12846E-04   -0.74982E-04
   237    0.66326E-02    0.16225E-04    0.12899E-04   -0.79765E-04
   238    0.65595E-02    0.16361E-04    0.12950E-04   -0.84385E-04
   239    0.64842E-02    0.16503E-04    0.13000E-04   -0.88834E-04
   240    0.64069E-02    0.16649E-04    0.13048E-04   -0.93100E-04
   241    0.63277E-02    0.16801E-04    0.13093E-04   -0.97174E-04
   242    0.62466E-02    0.16957E-04    0.13136E-04   -0.10105E-03
   243    0.61638E-02    0.17116E-04    0.13177E-04   -0.10471E-03
   244    0.60793E-02    0.17278E-04    0.13214E-04   -0.10815E-03
   245    0.59934E-02    0.17443E-04    0.13248E-04   -0.11136E-03
   246    0.59059E-02    0.17610E-04    0.13279E-04   -0.11433E-03
   247    0.58172E-02    0.17779E-04    0.13306E-04   -0.11705E-03
   248    0.57272E-02    0.17949E-04    0.13329E-04   -0.11950E-03
   249    0.56361E-02    0.18119E-04    0.13348E-04   -0.12169E-03
   250    0.55440E-02    0.18289E-04    0.13363E-04   -0.12360E-03
   251    0.54509E-02    0.18459E-04    0.13373E-04   -0.12522E-03
   252    0.53570E-02    0.18628E-04    0.13378E-04   -0.12656E-03
   253    0.52624E-02    0.18796E-04    0.13379E-04   -0.12763E-03
   254    0.51671E-02    0.18964E-04    0.13376E-04   -0.12843E-03
   255    0.50712E-02    0.19129E-04    0.13368E-04   -0.12896E-03
   256    0.49748E-02    0.19294E-04    0.13356E-04   -0.12925E-03
   257    0.48779E-02    0.19457E-04    0.13340E-04   -0.12929E-03
   258    0.47808E-02    0.19618E-04    0.13321E-04   -0.12910E-03
   259    0.46834E-02    0.19776E-04    0.13297E-04   -0.12867E-03
   260    0.45858E-02    0.19933E-04    0.13269E-04   -0.12802E-03
   261    0.44881E-02    0.20087E-04    0.13238E-04   -0.12716E-03
   262    0.43904E-02    0.20239E-04    0.13203E-04   -0.12609E-03
   263    0.42928E-02    0.20387E-04    0.13165E-04   -0.12481E-03
   264    0.41954E-02    0.20533E-04    0.13123E-04   -0.12335E-03
   265    0.40981E-02    0.20675E-04    0.13078E-04   -0.12170E-03
   266    0.40013E-02    0.20814E-04    0.13030E-04   -0.11987E-03
   267    0.39048E-02    0.20949E-04    0.12979E-04   -0.11787E-03
   268    0.38088E-02    0.21080E-04    0.12924E-04   -0.11571E-03
   269    0.37134E-02    0.21207E-04    0.12867E-04   -0.11339E-03
   270    0.36186E-02    0.21330E-04    0.12807E-04   -0.11093E-03
