#    L    TT             EE             BB             TE          
   158    0.45906E+04    0.10300E+01    0.24544E-03   -0.45304E+02
   159    0.46206E+04    0.10213E+01    0.23985E-03   -0.45109E+02
   160    0.46503E+04    0.10123E+01    0.23438E-03   -0.44887E+02
   161    0.46798E+04    0.10030E+01    0.22903E-03   -0.44639E+02
   162    0.47089E+04    0.99345E+00    0.22380E-03   -0.44366E+02
   163    0.47379E+04    0.98356E+00    0.21869E-03   -0.44064E+02
   164    0.47665E+04    0.97346E+00    0.21371E-03   -0.43737E+02
   165    0.47949E+04    0.96306E+00    0.20886E-03   -0.43382E+02
   166    0.48229E+04    0.95253E+00    0.20414E-03   -0.43000E+02
   167    0.48508E+04    0.94163E+00    0.19954E-03   -0.42593E+02
   168    0.48781E+04    0.93074E+00    0.19508E-03   -0.42157E+02
   169    0.49051E+04    0.91957E+00    0.19075E-03   -0.41693E+02
   170    0.49319E+04    0.90833E+00    0.18656E-03   -0.41202E+02
   171    0.49581E+04    0.89703E+00    0.18250E-03   -0.40683E+02
   172    0.49839E+04    0.88560E+00    0.17859E-03   -0.40136E+02
   173    0.50093E+04    0.87404E+00    0.17481E-03   -0.39561E+02
   174    0.50344E+04    0.86264E+00    0.17118E-03   -0.38959E+02
   175    0.50590E+04    0.85111E+00    0.16769E-03   -0.38329E+02
   176    0.50831E+04    0.83967E+00    0.16434E-03   -0.37671E+02
   177    0.51068E+04    0.82826E+00    0.16114E-03   -0.36987E+02
   178    0.51300E+04    0.81709E+00    0.15808E-03   -0.36274E+02
   179    0.51527E+04    0.80586E+00    0.15515E-03   -0.35533E+02
   180    0.51751E+04    0.79482E+00    0.15237E-03   -0.34765E+02
   181    0.51970E+04    0.78394E+00    0.14971E-03   -0.33971E+02
   182    0.52184E+04    0.77332E+00    0.14718E-03   -0.33149E+02
   183    0.52392E+04    0.76288E+00    0.14478E-03   -0.32301E+02
   184    0.52597E+04    0.75269E+00    0.14250E-03   -0.31425E+02
   185    0.52796E+04    0.74290E+00    0.14034E-03   -0.30524E+02
   186    0.52988E+04    0.73338E+00    0.13830E-03   -0.29596E+02
   187    0.53177E+04    0.72427E+00    0.13638E-03   -0.28641E+02
   188    0.53361E+04    0.71555E+00    0.13457E-03   -0.27662E+02
   189    0.53539E+04    0.70726E+00    0.13287E-03   -0.26656E+02
   190    0.53715E+04    0.69947E+00    0.13128E-03   -0.25626E+02
   191    0.53882E+04    0.69218E+00    0.12979E-03   -0.24570E+02
   192    0.54045E+04    0.68542E+00    0.12840E-03   -0.23488E+02
   193    0.54201E+04    0.67925E+00    0.12711E-03   -0.22384E+02
   194    0.54354E+04    0.67369E+00    0.12592E-03   -0.21254E+02
   195    0.54501E+04    0.66878E+00    0.12482E-03   -0.20101E+02
   196    0.54641E+04    0.66456E+00    0.12382E-03   -0.18924E+02
   197    0.54777E+04    0.66107E+00    0.12290E-03   -0.17725E+02
   198    0.54907E+04    0.65834E+00    0.12206E-03   -0.16503E+02
   199    0.55032E+04    0.65641E+00    0.12131E-03   -0.15259E+02
   200    0.55152E+04    0.65531E+00    0.12064E-03   -0.13993E+02
   201    0.55265E+04    0.65511E+00    0.12004E-03   -0.12706E+02
   202    0.55373E+04    0.65579E+00    0.11952E-03   -0.11397E+02
   203    0.55475E+04    0.65744E+00    0.11907E-03   -0.10068E+02
   204    0.55570E+04    0.66006E+00    0.11869E-03   -0.87196E+01
