#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    70    0.18502E+04   -0.58299E+01    0.80114E-05   -0.58299E+01    0.33439E+00   -0.12446E-07    0.80114E-05   -0.12446E-07    0.25238E-10
    71    0.18743E+04   -0.62807E+01    0.77709E-05   -0.62807E+01    0.34781E+00   -0.12068E-07    0.77709E-05   -0.12068E-07    0.24403E-10
    72    0.18986E+04   -0.67454E+01    0.75424E-05   -0.67454E+01    0.36145E+00   -0.11493E-07    0.75424E-05   -0.11493E-07    0.23603E-10
    73    0.19231E+04   -0.72244E+01    0.73247E-05   -0.72244E+01    0.37527E+00   -0.10794E-07    0.73247E-05   -0.10794E-07    0.22837E-10
    74    0.19477E+04   -0.77166E+01    0.71171E-05   -0.77166E+01    0.38926E+00   -0.10049E-07    0.71171E-05   -0.10049E-07    0.22103E-10
    75    0.19727E+04   -0.82203E+01    0.69185E-05   -0.82203E+01    0.40343E+00   -0.93308E-08    0.69185E-05   -0.93308E-08    0.21399E-10
    76    0.19979E+04   -0.87346E+01    0.67280E-05   -0.87346E+01    0.41778E+00   -0.87044E-08    0.67280E-05   -0.87044E-08    0.20725E-10
    77    0.20235E+04   -0.92594E+01    0.65449E-05   -0.92594E+01    0.43230E+00   -0.81877E-08    0.65449E-05   -0.81877E-08    0.20077E-10
    78    0.20495E+04   -0.97961E+01    0.63688E-05   -0.97961E+01    0.44701E+00   -0.77870E-08    0.63688E-05   -0.77870E-08    0.19456E-10
    79    0.20757E+04   -0.10341E+02    0.61989E-05   -0.10341E+02    0.46187E+00   -0.75090E-08    0.61989E-05   -0.75090E-08    0.18859E-10
    80    0.21021E+04   -0.10895E+02    0.60348E-05   -0.10895E+02    0.47687E+00   -0.73602E-08    0.60348E-05   -0.73602E-08    0.18285E-10
    81    0.21288E+04   -0.11460E+02    0.58760E-05   -0.11460E+02    0.49197E+00   -0.73446E-08    0.58760E-05   -0.73446E-08    0.17734E-10
    82    0.21557E+04   -0.12034E+02    0.57221E-05   -0.12034E+02    0.50717E+00   -0.74550E-08    0.57221E-05   -0.74550E-08    0.17205E-10
    83    0.21828E+04   -0.12616E+02    0.55730E-05   -0.12616E+02    0.52247E+00   -0.76820E-08    0.55730E-05   -0.76820E-08    0.16695E-10
    84    0.22102E+04   -0.13206E+02    0.54283E-05   -0.13206E+02    0.53785E+00   -0.80159E-08    0.54283E-05   -0.80159E-08    0.16205E-10
    85    0.22377E+04   -0.13805E+02    0.52880E-05   -0.13805E+02    0.55328E+00   -0.84470E-08    0.52880E-05   -0.84470E-08    0.15734E-10
    86    0.22654E+04   -0.14410E+02    0.51518E-05   -0.14410E+02    0.56878E+00   -0.89606E-08    0.51518E-05   -0.89606E-08    0.15280E-10
    87    0.22936E+04   -0.15022E+02    0.50197E-05   -0.15022E+02    0.58432E+00   -0.95221E-08    0.50197E-05   -0.95221E-08    0.14844E-10
    88    0.23217E+04   -0.15641E+02    0.48918E-05   -0.15641E+02    0.59990E+00   -0.10091E-07    0.48918E-05   -0.10091E-07    0.14423E-10
    89    0.23502E+04   -0.16267E+02    0.47682E-05   -0.16267E+02    0.61553E+00   -0.10629E-07    0.47682E-05   -0.10629E-07    0.14017E-10
    90    0.23789E+04   -0.16899E+02    0.46487E-05   -0.16899E+02    0.63115E+00   -0.11094E-07    0.46487E-05   -0.11094E-07    0.13625E-10
    91    0.24078E+04   -0.17535E+02    0.45335E-05   -0.17535E+02    0.64676E+00   -0.11456E-07    0.45335E-05   -0.11456E-07    0.13247E-10
    92    0.24369E+04   -0.18177E+02    0.44224E-05   -0.18177E+02    0.66234E+00   -0.11714E-07    0.44224E-05   -0.11714E-07    0.12882E-10
    93    0.24664E+04   -0.18823E+02    0.43153E-05   -0.18823E+02    0.67789E+00   -0.11876E-07    0.43153E-05   -0.11876E-07    0.12529E-10
    94    0.24959E+04   -0.19472E+02    0.42121E-05   -0.19472E+02    0.69338E+00   -0.11950E-07    0.42121E-05   -0.11950E-07    0.12188E-10
    95    0.25257E+04   -0.20125E+02    0.41126E-05   -0.20125E+02    0.70879E+00   -0.11944E-07    0.41126E-05   -0.11944E-07    0.11860E-10
    96    0.25555E+04   -0.20782E+02    0.40166E-05   -0.20782E+02    0.72411E+00   -0.11865E-07    0.40166E-05   -0.11865E-07    0.11542E-10
    97    0.25858E+04   -0.21442E+02    0.39241E-05   -0.21442E+02    0.73933E+00   -0.11722E-07    0.39241E-05   -0.11722E-07    0.11236E-10
    98    0.26163E+04   -0.22101E+02    0.38349E-05   -0.22101E+02    0.75445E+00   -0.11522E-07    0.38349E-05   -0.11522E-07    0.10940E-10
    99    0.26469E+04   -0.22764E+02    0.37488E-05   -0.22764E+02    0.76941E+00   -0.11273E-07    0.37488E-05   -0.11273E-07    0.10654E-10
   100    0.26777E+04   -0.23426E+02    0.36657E-05   -0.23426E+02    0.78423E+00   -0.10983E-07    0.36657E-05   -0.10983E-07    0.10379E-10
   101    0.27087E+04   -0.24090E+02    0.35855E-05   -0.24090E+02    0.79896E+00   -0.10660E-07    0.35855E-05   -0.10660E-07    0.10113E-10
   102    0.27403E+04   -0.24754E+02    0.35080E-05   -0.24754E+02    0.81346E+00   -0.10311E-07    0.35080E-05   -0.10311E-07    0.98555E-11
   103    0.27717E+04   -0.25418E+02    0.34331E-05   -0.25418E+02    0.82779E+00   -0.99452E-08    0.34331E-05   -0.99452E-08    0.96072E-11
   104    0.28034E+04   -0.26080E+02    0.33606E-05   -0.26080E+02    0.84195E+00   -0.95694E-08    0.33606E-05   -0.95694E-08    0.93672E-11
   105    0.28353E+04   -0.26740E+02    0.32904E-05   -0.26740E+02    0.85588E+00   -0.91918E-08    0.32904E-05   -0.91918E-08    0.91351E-11
   106    0.28674E+04   -0.27399E+02    0.32224E-05   -0.27399E+02    0.86965E+00   -0.88201E-08    0.32224E-05   -0.88201E-08    0.89106E-11
   107    0.28994E+04   -0.28055E+02    0.31564E-05   -0.28055E+02    0.88310E+00   -0.84622E-08    0.31564E-05   -0.84622E-08    0.86933E-11
   108    0.29318E+04   -0.28709E+02    0.30922E-05   -0.28709E+02    0.89631E+00   -0.81261E-08    0.30922E-05   -0.81261E-08    0.84828E-11
   109    0.29643E+04   -0.29358E+02    0.30298E-05   -0.29358E+02    0.90921E+00   -0.78194E-08    0.30298E-05   -0.78194E-08    0.82787E-11
   110    0.29969E+04   -0.30003E+02    0.29690E-05   -0.30003E+02    0.92180E+00   -0.75501E-08    0.29690E-05   -0.75501E-08    0.80807E-11
   111    0.30297E+04   -0.30643E+02    0.29096E-05   -0.30643E+02    0.93414E+00   -0.73243E-08    0.29096E-05   -0.73243E-08    0.78884E-11
   112    0.30626E+04   -0.31279E+02    0.28517E-05   -0.31279E+02    0.94617E+00   -0.71407E-08    0.28517E-05   -0.71407E-08    0.77016E-11
   113    0.30958E+04   -0.31908E+02    0.27952E-05   -0.31908E+02    0.95789E+00   -0.69965E-08    0.27952E-05   -0.69965E-08    0.75201E-11
   114    0.31290E+04   -0.32531E+02    0.27400E-05   -0.32531E+02    0.96921E+00   -0.68887E-08    0.27400E-05   -0.68887E-08    0.73440E-11
   115    0.31624E+04   -0.33147E+02    0.26861E-05   -0.33147E+02    0.98030E+00   -0.68145E-08    0.26861E-05   -0.68145E-08    0.71729E-11
   116    0.31959E+04   -0.33754E+02    0.26336E-05   -0.33754E+02    0.99092E+00   -0.67708E-08    0.26336E-05   -0.67708E-08    0.70068E-11
   117    0.32296E+04   -0.34354E+02    0.25824E-05   -0.34354E+02    0.10011E+01   -0.67549E-08    0.25824E-05   -0.67549E-08    0.68455E-11
   118    0.32635E+04   -0.34945E+02    0.25324E-05   -0.34945E+02    0.10111E+01   -0.67637E-08    0.25324E-05   -0.67637E-08    0.66889E-11
   119    0.32974E+04   -0.35526E+02    0.24837E-05   -0.35526E+02    0.10207E+01   -0.67944E-08    0.24837E-05   -0.67944E-08    0.65369E-11
   120    0.33314E+04   -0.36096E+02    0.24361E-05   -0.36096E+02    0.10298E+01   -0.68441E-08    0.24361E-05   -0.68441E-08    0.63893E-11
   121    0.33654E+04   -0.36657E+02    0.23898E-05   -0.36657E+02    0.10386E+01   -0.69097E-08    0.23898E-05   -0.69097E-08    0.62460E-11
   122    0.33995E+04   -0.37206E+02    0.23446E-05   -0.37206E+02    0.10469E+01   -0.69885E-08    0.23446E-05   -0.69885E-08    0.61068E-11
   123    0.34337E+04   -0.37744E+02    0.23005E-05   -0.37744E+02    0.10547E+01   -0.70774E-08    0.23005E-05   -0.70774E-08    0.59716E-11
   124    0.34679E+04   -0.38268E+02    0.22575E-05   -0.38268E+02    0.10621E+01   -0.71736E-08    0.22575E-05   -0.71736E-08    0.58403E-11
   125    0.35020E+04   -0.38779E+02    0.22156E-05   -0.38779E+02    0.10691E+01   -0.72741E-08    0.22156E-05   -0.72741E-08    0.57127E-11
   126    0.35363E+04   -0.39278E+02    0.21747E-05   -0.39278E+02    0.10756E+01   -0.73761E-08    0.21747E-05   -0.73761E-08    0.55887E-11
   127    0.35705E+04   -0.39763E+02    0.21349E-05   -0.39763E+02    0.10817E+01   -0.74766E-08    0.21349E-05   -0.74766E-08    0.54682E-11
   128    0.36047E+04   -0.40234E+02    0.20960E-05   -0.40234E+02    0.10873E+01   -0.75726E-08    0.20960E-05   -0.75726E-08    0.53509E-11
   129    0.36389E+04   -0.40690E+02    0.20581E-05   -0.40690E+02    0.10924E+01   -0.76613E-08    0.20581E-05   -0.76613E-08    0.52369E-11
   130    0.36732E+04   -0.41129E+02    0.20211E-05   -0.41129E+02    0.10969E+01   -0.77398E-08    0.20211E-05   -0.77398E-08    0.51259E-11
   131    0.37074E+04   -0.41554E+02    0.19851E-05   -0.41554E+02    0.11011E+01   -0.78057E-08    0.19851E-05   -0.78057E-08    0.50178E-11
   132    0.37416E+04   -0.41961E+02    0.19499E-05   -0.41961E+02    0.11047E+01   -0.78589E-08    0.19499E-05   -0.78589E-08    0.49125E-11
   133    0.37758E+04   -0.42353E+02    0.19156E-05   -0.42353E+02    0.11079E+01   -0.78999E-08    0.19156E-05   -0.78999E-08    0.48100E-11
   134    0.38099E+04   -0.42725E+02    0.18822E-05   -0.42725E+02    0.11105E+01   -0.79292E-08    0.18822E-05   -0.79292E-08    0.47102E-11
   135    0.38440E+04   -0.43080E+02    0.18495E-05   -0.43080E+02    0.11127E+01   -0.79474E-08    0.18495E-05   -0.79474E-08    0.46130E-11
   136    0.38780E+04   -0.43415E+02    0.18177E-05   -0.43415E+02    0.11143E+01   -0.79549E-08    0.18177E-05   -0.79549E-08    0.45183E-11
   137    0.39119E+04   -0.43732E+02    0.17866E-05   -0.43732E+02    0.11154E+01   -0.79522E-08    0.17866E-05   -0.79522E-08    0.44262E-11
   138    0.39457E+04   -0.44030E+02    0.17563E-05   -0.44030E+02    0.11160E+01   -0.79398E-08    0.17563E-05   -0.79398E-08    0.43364E-11
   139    0.39793E+04   -0.44307E+02    0.17267E-05   -0.44307E+02    0.11163E+01   -0.79183E-08    0.17267E-05   -0.79183E-08    0.42491E-11
   140    0.40130E+04   -0.44564E+02    0.16977E-05   -0.44564E+02    0.11159E+01   -0.78880E-08    0.16977E-05   -0.78880E-08    0.41640E-11
   141    0.40464E+04   -0.44800E+02    0.16695E-05   -0.44800E+02    0.11150E+01   -0.78496E-08    0.16695E-05   -0.78496E-08    0.40811E-11
   142    0.40798E+04   -0.45015E+02    0.16420E-05   -0.45015E+02    0.11136E+01   -0.78034E-08    0.16420E-05   -0.78034E-08    0.40003E-11
   143    0.41131E+04   -0.45208E+02    0.16150E-05   -0.45208E+02    0.11117E+01   -0.77501E-08    0.16150E-05   -0.77501E-08    0.39216E-11
   144    0.41462E+04   -0.45381E+02    0.15887E-05   -0.45381E+02    0.11094E+01   -0.76900E-08    0.15887E-05   -0.76900E-08    0.38450E-11
   145    0.41791E+04   -0.45531E+02    0.15629E-05   -0.45531E+02    0.11066E+01   -0.76238E-08    0.15629E-05   -0.76238E-08    0.37702E-11
   146    0.42121E+04   -0.45658E+02    0.15378E-05   -0.45658E+02    0.11033E+01   -0.75518E-08    0.15378E-05   -0.75518E-08    0.36974E-11
   147    0.42447E+04   -0.45762E+02    0.15131E-05   -0.45762E+02    0.10995E+01   -0.74747E-08    0.15131E-05   -0.74747E-08    0.36263E-11
   148    0.42772E+04   -0.45844E+02    0.14890E-05   -0.45844E+02    0.10952E+01   -0.73928E-08    0.14890E-05   -0.73928E-08    0.35569E-11
   149    0.43096E+04   -0.45902E+02    0.14654E-05   -0.45902E+02    0.10905E+01   -0.73068E-08    0.14654E-05   -0.73068E-08    0.34893E-11
   150    0.43417E+04   -0.45934E+02    0.14422E-05   -0.45934E+02    0.10854E+01   -0.72170E-08    0.14422E-05   -0.72170E-08    0.34232E-11
